Date,Adj Close,COD_release,Weeks_after_COD,Price_Subtracted,
264,26-11-2012,10.668742,0,2,0.38169
265,03-12-2012,10.557029,0,3,0.269977
266,10-12-2012,10.622194,0,4,0.335142
267,17-12-2012,9.914667,0,5,-0.372385
268,24-12-2012,9.830885,0,6,-0.456167
269,31-12-2012,10.398766,0,7,0.111714
270,07-01-2013,10.724598,0,8,0.437546
271,14-01-2013,10.575647,0,9,0.288595
272,21-01-2013,10.603577,0,10,0.316525
273,28-01-2013,10.845624,0,11,0.558572
274,04-02-2013,12.484104,0,12,2.197052
275,11-02-2013,13.37782,0,13,3.090768
276,18-02-2013,13.508154,0,14,3.221102
277,25-02-2013,13.359202,0,15,3.07215
278,04-03-2013,13.815371,0,16,3.528319
279,11-03-2013,13.638488,0,17,3.351436
280,18-03-2013,13.349892,0,18,3.06284
281,25-03-2013,13.742239,0,19,3.455187
282,01-04-2013,13.610192,0,20,3.32314
283,08-04-2013,13.827127,0,21,3.540075
284,15-04-2013,13.44985,0,22,3.162798
285,22-04-2013,13.978036,0,23,3.690984
286,29-04-2013,14.317583,0,24,4.030531
287,06-05-2013,14.100651,0,25,3.813599
288,13-05-2013,14.091218,0,26,3.804166
289,20-05-2013,14.723153,0,27,4.436101
290,27-05-2013,13.610192,0,28,3.32314
291,03-06-2013,13.893149,0,29,3.606097
292,10-06-2013,13.732807,0,30,3.445755
293,17-06-2013,12.780189,0,31,2.493137
294,24-06-2013,13.44985,0,32,3.162798
295,01-07-2013,13.827127,0,33,3.540075
296,08-07-2013,14.157242,0,34,3.87019
297,15-07-2013,14.647697,0,35,4.360645
298,22-07-2013,16.46805,0,36,6.180998
299,29-07-2013,17.052824,0,37,6.765772
300,05-08-2013,16.251118,0,38,5.964066
301,12-08-2013,16.317141,0,39,6.030089
302,19-08-2013,15.770091,0,40,5.483039
303,26-08-2013,15.392816,0,41,5.105764
304,02-09-2013,16.005886,0,42,5.718834
305,09-09-2013,16.005886,0,43,5.718834
306,16-09-2013,16.02475,0,44,5.737698
307,23-09-2013,15.86441,0,45,5.577358
308,30-09-2013,15.921002,0,46,5.63395
309,07-10-2013,16.109636,0,47,5.822584
310,14-10-2013,16.590664,0,48,6.303612
311,21-10-2013,16.354868,0,49,6.067816
312,28-10-2013,15.751228,0,50,5.464176
313,04-11-2013,16.100206,1,0,0
314,11-11-2013,16.71328,0,1,0.613074
315,18-11-2013,16.23225,0,2,0.132044
316,25-11-2013,16.23225,0,3,0.132044
317,02-12-2013,16.222822,0,4,0.122616
318,09-12-2013,15.817249,0,5,-0.282957
319,16-12-2013,16.854757,0,6,0.754551
320,23-12-2013,16.807596,0,7,0.70739
321,30-12-2013,17.250896,0,8,1.15069
322,06-01-2014,17.147146,0,9,1.04694
323,13-01-2014,15.996458,0,10,-0.103748
324,20-01-2014,15.722932,0,11,-0.377274
325,27-01-2014,16.156796,0,12,0.05659
326,03-02-2014,18.524197,0,13,2.423991
327,10-02-2014,18.675106,0,14,2.5749
328,17-02-2014,18.599651,0,15,2.499445
329,24-02-2014,18.250675,0,16,2.150469
330,03-03-2014,18.967499,0,17,2.867293
331,10-03-2014,19.806932,0,18,3.706726
332,17-03-2014,19.599432,0,19,3.499226
333,24-03-2014,19.473644,0,20,3.373438
334,31-03-2014,19.159399,0,21,3.059193
335,07-04-2014,18.130962,0,22,2.030756
336,14-04-2014,18.749929,0,23,2.649723
337,21-04-2014,18.530907,0,24,2.430701
338,28-04-2014,18.987991,0,25,2.887785
339,05-05-2014,19.797411,0,26,3.697205
340,12-05-2014,19.37842,0,27,3.278214
341,19-05-2014,19.692663,0,28,3.592457
342,26-05-2014,19.787889,0,29,3.687683
343,02-06-2014,19.921202,0,30,3.820996
344,09-06-2014,20.387808,0,31,4.287602
345,16-06-2014,20.959164,0,32,4.858958
346,23-06-2014,20.873463,0,33,4.773257
347,30-06-2014,21.587652,0,34,5.487446
348,07-07-2014,21.368633,0,35,5.268427
349,14-07-2014,21.835239,0,36,5.735033
350,21-07-2014,21.892378,0,37,5.792172
351,28-07-2014,21.368633,0,38,5.268427
352,04-08-2014,21.463861,0,39,5.363655
353,11-08-2014,22.244709,0,40,6.144503
354,18-08-2014,22.025686,0,41,5.92548
355,25-08-2014,22.416117,0,42,6.315911
356,01-09-2014,22.873198,0,43,6.772992
357,08-09-2014,22.273277,0,44,6.173071
358,15-09-2014,20.778233,0,45,4.678027
359,22-09-2014,20.235449,0,46,4.135243
360,29-09-2014,19.72123,0,47,3.621024
361,06-10-2014,17.816719,0,48,1.716513
362,13-10-2014,17.950033,0,49,1.849827
363,20-10-2014,18.254753,0,50,2.154547
364,27-10-2014,18.997517,0,51,2.897311
365,03-11-2014,19.664095,1,0,0
366,10-11-2014,19.140356,0,1,-0.523739
367,17-11-2014,20.159266,0,2,0.495171
368,24-11-2014,20.616354,0,3,0.952259
369,01-12-2014,20.749666,0,4,1.085571
370,08-12-2014,18.949902,0,5,-0.714193
371,15-12-2014,19.283192,0,6,-0.380903
372,22-12-2014,19.445076,0,7,-0.219019
373,29-12-2014,19.168922,0,8,-0.495173
374,05-01-2015,17.997646,0,9,-1.666449
375,12-01-2015,19.283192,0,10,-0.380903
376,19-01-2015,19.664095,0,11,0
377,26-01-2015,19.902159,0,12,0.238064
378,02-02-2015,21.054388,0,13,1.390293
379,09-02-2015,22.006647,0,14,2.342552
380,16-02-2015,22.197096,0,15,2.533001
381,23-02-2015,22.206621,0,16,2.542526
382,02-03-2015,21.968557,0,17,2.304462
383,09-03-2015,21.892378,0,18,2.228283
384,16-03-2015,22.301844,0,19,2.637749
385,23-03-2015,21.673355,0,20,2.00926
386,30-03-2015,21.77976,0,21,2.115665
387,06-04-2015,22.058743,0,22,2.394648
388,13-04-2015,21.943298,0,23,2.279203
389,20-04-2015,23.030367,0,24,3.366272
390,27-04-2015,22.174179,0,25,2.510084
391,04-05-2015,24.098186,0,26,4.434091
392,11-05-2015,24.45413,0,27,4.790035
393,18-05-2015,24.521471,0,28,4.857376
394,25-05-2015,24.300211,0,29,4.636116
395,01-06-2015,24.790833,0,30,5.126738
396,08-06-2015,24.434887,0,31,4.770792
397,15-06-2015,24.05971,0,32,4.395615
398,22-06-2015,24.088572,0,33,4.424477
399,29-06-2015,23.694145,0,34,4.03005
400,06-07-2015,24.396408,0,35,4.732313
401,13-07-2015,24.829311,0,36,5.165216
402,20-07-2015,25.185253,0,37,5.521158
403,27-07-2015,24.810072,0,38,5.145977
404,03-08-2015,27.686464,0,39,8.022369
405,10-08-2015,27.590261,0,40,7.926166
406,17-08-2015,26.185736,0,41,6.521641
